text,label
This keeps happening—I'm done ordering from you  ,delivery
I never agreed to this extra fee.  ,billing
Cooling system doesn’t work  ,product
Delivery was rescheduled again without notice  ,delivery
Battery won’t hold a charge  ,product
Filter came already dirty  ,product
Light never turns off  ,product
Item was mislabeled  ,product
Only half the product arrived  ,product
Can’t even plug it in  ,product
Driver claimed to leave it—nothing there  ,delivery
The delivery guy went to the wrong house  ,delivery
I can’t believe you lost my order again  ,delivery
I downgraded but still paid full price  ,billing
Scratches on all surfaces  ,product
The tax calculation is clearly wrong.  ,billing
This was a time-sensitive delivery  ,delivery
Pieces are misaligned and won’t fit  ,product
Package went back to sender without trying me  ,delivery
Makes loud clicking noise  ,product
Why wasn’t I notified of the delay?  ,delivery
Stop charging me for things I didn’t agree to  ,billing
"My receipt says one price, the charge is another.  ",billing
The product is warped  ,product
Item is scratched beyond repair  ,product
The magnet is so weak it’s useless  ,product
Why are you charging me in advance?  ,billing
You sent the wrong accessories  ,product
It’s way more than last month  ,billing
This was supposed to be corrected  ,billing
The box was ripped open  ,delivery
I have no idea where it was delivered  ,delivery
Won’t hold temperature  ,product
This has become a regular issue with you  ,delivery
You didn’t send an invoice. Just took the money.  ,billing
The driver damaged my property  ,delivery
My package is covered in dirt  ,delivery
The box is empty  ,delivery
Shipping box was empty  ,product
Armrest broke  ,product
I found my package in the bushes  ,delivery
My bill includes features I never used  ,billing
I got the wrong color  ,product
Support gave me copy-paste answers  ,product
"I clicked “no,” but it went through anyway.  ",billing
My delivery was split and now half is missing  ,delivery
Driver said I refused the delivery—false  ,delivery
No one has explained what happened to my order  ,delivery
I got billed for a feature test.  ,billing
Very poor signal  ,product
None of the buttons respond  ,product
"No proof of delivery, just a message  ",delivery
This bill is higher than usual  ,billing
My package has disappeared  ,delivery
Why didn’t I get a delivery confirmation?  ,delivery
"You ignored the ""leave with doorman"" note  ",delivery
Software is outdated  ,product
They delivered to a vacant property  ,delivery
You lost my delivery  ,delivery
There’s no justification for this fee  ,billing
"The label says fragile, but it was thrown around  ",delivery
I feel like I’m being tricked  ,billing
"You charged me twice, on different days.  ",billing
Was clearly repackaged  ,product
"I waited and waited, and nothing showed up  ",delivery
"Said eco-friendly, came in plastic  ",product
This is a total scam  ,product
Stop misbilling me  ,billing
There’s no paper trail for this bill.  ,billing
My account should be closed  ,billing
You never sent a renewal notice.  ,billing
Why was my account debited today?  ,billing
There was no delivery window provided  ,delivery
Driver keeps skipping my unit  ,delivery
That wasn’t in the contract.  ,billing
Where’s the adjustment from last time?  ,billing
I caught an error on this statement again.  ,billing
"I used points, but you charged me anyway.  ",billing
It buzzes even when turned off  ,product
I’m being charged for someone else’s account  ,billing
How is my total more than the item price?  ,billing
All the lights are out  ,product
Locks don’t click properly  ,product
No mounting instructions  ,product
Sprayer doesn’t work  ,product
Sound is distorted  ,product
Not stainless steel as claimed  ,product
There’s no breakdown—just a giant total.  ,billing
Driver said I wasn’t home—false  ,delivery
Delivery left at a random address  ,delivery
No carrying case included  ,product
The screen protector was already used  ,product
Why do I need to contact you to cancel?  ,billing
They left it out in a storm  ,delivery
Driver didn’t follow any instructions  ,delivery
Not even close to what’s in the photos  ,product
I stayed home just for this and nothing came  ,delivery
I needed that for today’s event  ,delivery
It says it’s delivered but the package vanished  ,delivery
No one told me about a service fee.  ,billing
They said I wasn’t available—I was  ,delivery
There’s a huge scratch across the screen  ,product
Item was clearly returned and resold  ,product
"I only ordered one, why charge me for three?  ",billing
This amount is inflated  ,billing
Too loud to even use  ,product
Why deliver late at night with no notice?  ,delivery
Material is nothing like what you described  ,product
Where’s the discount you promised?  ,billing
Paint has visible brush strokes  ,product
There’s a duplicate payment  ,billing
"Package is torn, items falling out  ",delivery
My receipt doesn’t match what was charged.  ,billing
Stop using photos as proof when nothing was there  ,delivery
Half my package is missing again  ,delivery
Paint is peeling  ,product
Nothing about this charge is what I expected.  ,billing
I want a supervisor now  ,billing
Your courier clearly lost my package  ,delivery
Driver didn’t follow the map  ,delivery
It came way after the event I needed it for  ,delivery
Nothing lines up properly  ,product
Panel won’t close  ,product
This charge is fraudulent  ,billing
My apartment number was ignored  ,delivery
Parcel was tossed into my bushes  ,delivery
Tool rusted after one use  ,product
It says delivered but I received nothing at all  ,delivery
The box was crushed flat  ,product
The stitching is completely uneven  ,product
I’ve been patient—this is ridiculous now  ,delivery
This is not a premium plan  ,billing
Grips are missing  ,product
This was not worth the money  ,product
Stop charging before the renewal date  ,billing
Still waiting for refund  ,product
"They didn’t even attempt to deliver, just marked it done  ",delivery
The fragile item was smashed into pieces  ,delivery
"I paid for express shipping, where is it?  ",delivery
I never signed up for automatic payments.  ,billing
Driver ignored the callbox entirely  ,delivery
I requested contactless delivery and it was handed off  ,delivery
I’m done dealing with your billing errors  ,billing
The mounting holes don’t line up  ,product
Won’t stay in place  ,product
Order is damaged and incomplete  ,delivery
Material is already pilling  ,product
Warranty card missing  ,product
Plastic melted in heat  ,product
The settings don’t save  ,product
Your system glitched and now I’m out $100.  ,billing
The package was left wide open outside  ,delivery
That’s not the amount I saw before clicking purchase.  ,billing
I've been waiting for 2 hours and nothing arrived  ,delivery
This wasn’t part of the original deal  ,billing
I was home but no one knocked  ,delivery
It doesn’t stand upright like it should  ,product
I only used it for one day.  ,billing
You didn’t include batteries  ,product
Why is this happening every week?  ,delivery
Plastic is cracked and sharp  ,product
Color bleeds when washed  ,product
Fix this or I’m closing my account. ,billing
This isn’t what the sales rep told me.  ,billing
Where’s the refund you promised last week?  ,billing
You sent the wrong item entirely  ,product
I’ve had enough of this nonsense  ,billing
These taxes seem way too high  ,billing
That isn’t the price I saw online.  ,billing
The amount is way off  ,billing
Fix this or I’m leaving  ,billing
Battery exploded  ,product
No one has responded to my delivery complaint  ,delivery
I waited at home for absolutely nothing  ,delivery
The box looks like it went through a war  ,delivery
Box was smashed  ,product
My card was charged even though I canceled last week.  ,billing
Already had cracks on it  ,product
The billing support is useless  ,billing
Touchscreen is totally inaccurate  ,product
"It’s been ""out for delivery"" for three days  ",delivery
Refund my money and cancel everything  ,billing
Never buying from here again  ,product
My package says delivered but nothing’s here  ,delivery
My apartment was skipped entirely  ,delivery
Nothing I signed up for included this cost.  ,billing
Switch doesn’t work  ,product
"Parcel dumped on the sidewalk, unbelievable  ",delivery
Very low resolution  ,product
Package was half-open on arrival  ,delivery
It’s stuck in transit and no one cares  ,delivery
Product failed instantly  ,product
Missing remote  ,product
Why is this not sorted yet?  ,billing
Nozzle clogs instantly  ,product
They delivered at 6am with no notice  ,delivery
The photo proof is a different house  ,delivery
Why is this still pending on my card?  ,billing
Overheats after short use  ,product
"Every time I order, it gets delayed  ",delivery
There’s no sign of the box anywhere  ,delivery
How did this charge get approved?  ,billing
Half my order is missing  ,delivery
I got someone else's order instead  ,delivery
The knob is loose  ,product
Ink cartridge missing  ,product
Feels very flimsy and cheap  ,product
My package is completely destroyed  ,delivery
The driver left before I could reach them  ,delivery
Wrong billing cycle  ,billing
No tracking update in 48 hours  ,delivery
Enough is enough  ,billing
The box was clearly opened before I got it  ,delivery
Keyboard keys are broken  ,product
Where’s the bill history? This came out of nowhere.  ,billing
I didn’t click subscribe.  ,billing
The price looks incorrect.  ,billing
This is an unauthorized transaction  ,billing
Sticker residue all over  ,product
My package looks like it was run over  ,delivery
What’s this mystery fee on my statement?  ,billing
You keep misdelivering my orders  ,delivery
You promised same-day delivery and lied  ,delivery
I didn’t get what I paid for  ,delivery
You promised to fix this last time  ,billing
"No photo proof, no package, no delivery  ",delivery
You promised no extra fees  ,billing
Lid doesn’t stay closed  ,product
This isn’t adding up  ,billing
This is really unprofessional  ,billing
Didn’t I cancel last month?  ,billing
Package jammed in my mailbox and bent  ,delivery
Too bulky for advertised use  ,product
It was left outside in the rain  ,delivery
No way to contact support  ,product
The wrong items were dropped off  ,delivery
Only works when plugged in  ,product
Please stop delivering to my neighbor  ,delivery
You’re billing me for something I canceled last year.  ,billing
Missing key features listed in the description  ,product
Why is this always happening to me?  ,delivery
The app lied about the time  ,delivery
I already paid for this  ,billing
Plastic is cracked on arrival  ,product
Still no replacement sent  ,delivery
The display is flickering  ,product
Instruction video doesn’t load  ,product
Stop billing me for someone else  ,billing
I got someone else’s order  ,product
This charge appeared out of nowhere  ,billing
I was charged twice for the same thing and I want a refund!  ,billing
I’m seeing an unfamiliar transaction  ,billing
Alarm doesn’t go off  ,product
"This was a gift, and now it’s ruined  ",delivery
You billed the wrong person.  ,billing
Fix your billing process  ,billing
Why was it delivered to someone else’s house?  ,delivery
There’s no transparency in these charges  ,billing
The product stopped working in a week  ,product
Wi-Fi constantly disconnects  ,product
The fabric is rough and uncomfortable  ,product
My loyalty discount didn’t apply  ,billing
You said two days—it's been two weeks  ,delivery
The switch fell off  ,product
Couldn’t install software  ,product
This was supposed to arrive yesterday  ,delivery
Why did this charge reappear?  ,billing
You sent me the European plug version  ,product
Why did this renew without warning?  ,billing
Item feels cheap and flimsy  ,product
You charged my expired card.  ,billing
Please credit this back ASAP  ,billing
Still no action on my request  ,billing
You never mentioned a renewal fee  ,billing
I got charged before the due date  ,billing
Why does my neighbor have all my packages?  ,delivery
One side is crushed  ,product
"You promised metal, this is plastic  ",product
Food arrived spilled and cold  ,delivery
That price is way above what’s reasonable.  ,billing
I received a used item  ,product
Tracking says delivered but mailbox is empty  ,delivery
I was home—no one knocked  ,delivery
This isn’t my purchase  ,billing
Everything is covered in sticky residue  ,product
Zipper stuck right away  ,product
The price changed mid-cycle  ,billing
The plan changed without consent  ,billing
Your customer service said this would be fixed.  ,billing
I don’t see this product on my order history.  ,billing
There’s no logic to your charges  ,billing
Every order I place ends up delayed  ,delivery
Clearly a cheap knockoff  ,product
Stop trying to sneak in extra charges  ,billing
Light never turns off  ,product
Why can’t they just read the instructions?  ,delivery
I’ve had it with your delivery screw-ups  ,delivery
"Your system says delivered, but I have nothing  ",delivery
They delivered without confirming my address  ,delivery
No customer service response  ,product
Why is this so difficult to resolve?  ,billing
"The driver didn’t knock, just left a slip  ",delivery
Adhesive already dried out  ,product
They didn’t knock or ring  ,delivery
I paid on time—why the late charge?  ,billing
Smells terrible and made my hands itch  ,product
Power button is stuck  ,product
Driver ignored my gate code  ,delivery
One side is missing entirely  ,product
The tracking keeps changing and it’s confusing  ,delivery
Gave me a rash  ,product
You’re ignoring my requests for redelivery  ,delivery
You didn’t follow any of the delivery instructions  ,delivery
Not the first time this has happened  ,delivery
It’s missing key items I paid for  ,delivery
I wasn’t even notified it had shipped  ,delivery
The app said it was free.  ,billing
No updates on my delayed delivery  ,delivery
You split my order and lost half  ,delivery
No attempt to deliver was made  ,delivery
Screen has dead pixels  ,product
The box is completely smashed  ,delivery
This is just garbage  ,product
Please stop using this delivery company  ,delivery
Cable doesn’t fit the device  ,product
They never followed special delivery instructions  ,delivery
That late fee shouldn’t be there.  ,billing
Doesn’t stay connected via Bluetooth  ,product
It was placed in a puddle  ,delivery
I updated my plan—why is it still wrong?  ,billing
How hard is it to follow simple directions?  ,delivery
Paint started bubbling  ,product
Legs don’t align  ,product
I’m done paying for your mistakes.  ,billing
Was expecting better quality for the price  ,product
"I downgraded, why am I still paying the full amount?  ",billing
You sent something completely different  ,product
How many times do I have to ask?  ,billing
They marked it delivered and it’s missing  ,delivery
My hand got cut opening it  ,product
I checked the fine print—this wasn’t in there.  ,billing
This has happened three times now.  ,billing
Your delivery times are completely unreliable  ,delivery
I found my package in the neighbor’s yard  ,delivery
The seal was broken when it arrived  ,product
You billed me after I deleted the app.  ,billing
I see a foreign transaction fee  ,billing
It made a loud pop and stopped working  ,product
I never received the service  ,billing
Why are you billing in advance?  ,billing
I didn’t upgrade my plan  ,billing
This monthly charge is unexpected  ,billing
Discs are unreadable  ,product
This was supposed to be overnight  ,delivery
Mirror warps image  ,product
I canceled the order and you sent it anyway  ,delivery
"No one rang the bell, and now it's gone  ",delivery
This was supposed to be a one-time purchase.  ,billing
Nothing was explained clearly  ,billing
Why does no one take responsibility?  ,delivery
I didn’t get what I paid for  ,billing
That isn’t what I authorized  ,billing
Your support team is ignoring my messages  ,product
I canceled and still got billed  ,billing
The tool bent instantly  ,product
There’s a giant hole in the package  ,delivery
This is the wrong currency.  ,billing
Only one setting works  ,product
Your team confirmed there’d be no charges.  ,billing
Don’t bill me again until this is fixed  ,billing
They refused to deliver to my floor  ,delivery
This fee came out of nowhere  ,billing
You messed up my statement  ,billing
Your billing practices are shady  ,billing
The box looks like it’s been kicked  ,delivery
You ignored the delivery instructions  ,delivery
Wrong app linked in instructions  ,product
Color is totally different in person  ,product
The package arrived ripped and leaking  ,delivery
Instructions are not in English  ,product
Package dumped at the end of my driveway  ,delivery
Your billing portal is broken.  ,billing
Doesn’t turn on  ,product
You didn’t include the warranty card  ,product
I told you not to leave it unattended  ,delivery
Dust inside the box  ,product
Stop charging me every week  ,billing
Everything arrived shattered  ,delivery
I didn’t renew anything  ,billing
How many times must I complain?  ,billing
It’s sitting at some facility with no movement  ,delivery
You keep making the same mistake.  ,billing
You never fixed the last mistake  ,delivery
It doesn’t inflate  ,product
All the settings reset randomly  ,product
I want a full statement now  ,billing
Too tight and uncomfortable  ,product
You billed for a service I never used  ,billing
"I ordered two, only got one  ",product
Order is marked delivered but I never got it  ,delivery
"Said new, but came in old packaging  ",product
The handle fell off during first use  ,product
You shipped to the wrong ZIP code  ,delivery
The invoice date is incorrect.  ,billing
Unbearable chemical smell  ,product
Clips broke immediately  ,product
Where’s the updated invoice?  ,billing
I waited all day for this?  ,delivery
No one can tell me where it is  ,delivery
LEDs are already dim  ,product
No one takes responsibility  ,billing
This isn't even my email.  ,billing
Left under my car?!  ,delivery
Screen is cracked  ,product
I got charged for something that never came  ,delivery
Product is crooked and off-center  ,product
Where is my overnight shipment?  ,delivery
You shipped it without any padding  ,product
"I ordered two, only received one  ",delivery
